sleep_hours,sleep_quality,screen_time,study_hours,focus_score,exercise_minutes,tasks_completed,procrastination,distractions,break_time,mood,stress_level,productive
5.872700594236813,3,7.790855794258488,9.887541054134065,3.099305216934848,10.327052064391026,8,8.782301683276504,2,176.81153963071088,8.120996704872821,4.9504137316187755,1
8.75357153204958,2,2.3108121642384796,1.5339342252692123,7.342955013195977,25.369377649571497,8,2.4080888615781015,5,91.25806975250093,9.71633565420897,3.929626410377419,1
7.659969709057025,1,8.821423922291352,6.0068889185958305,7.956352220862697,44.429386108791675,7,2.108028260919952,0,18.499917071142974,2.652089039045197,4.766777128187137,1
6.993292420985183,2,6.789918823082094,6.571765052734785,6.125062307387529,31.958194305911125,2,1.873712293349159,1,8.067871114089613,2.2324400861349476,6.501618210081753,1
4.780093202212183,3,3.0647680886414204,4.1895289526586055,3.4374612515380902,40.899447175570295,2,1.6673928971255851,9,9.067614521973475,9.827701897135771,4.814097359959731,1
4.779972601681013,3,2.4194828537492477,4.750377087703866,4.64575705050466,17.572151752548837,9,1.1304297020063623,3,63.39181261584341,3.0997219077339007,5.98967526517805,1
4.290418060840997,3,6.648622308307478,8.909100967221374,1.8643313069324612,1.940547079061079,9,2.443652523683099,4,130.43210152738033,4.84228035824919,2.0027992408869864,1
8.330880728874675,3,9.107532822540911,6.452742296654619,9.578616551133326,1.7487467852625693,2,2.7345469141301546,2,151.2194146870307,8.526927926631247,3.7885888486162926,1
7.005575058716044,2,7.465241970229434,4.970009582346862,8.818097240892595,56.56687059182086,5,3.427516542351462,3,106.92847148381503,3.0732482744073906,4.803993168649031,1
7.540362888980227,1,4.136919864430398,1.2834956243352469,1.5904211221671702,56.67240263970248,1,2.1163553212382125,1,86.39719380631016,7.403321112155052,1.4830879189705506,0
4.102922471479012,2,6.286452357417824,0.07337625223134636,2.4984159909249746,12.676940397277166,8,1.847402685282609,7,152.39482788263086,8.081788477395015,9.536259988080513,0
